ID;اسم الفرع / المنفذ;نوع المرفق;العنوان;رابط الاتجاهات;خط العرض (Latitude);خط الطول (Longitude)
AZ-UF-BR-0192;كارفور- طيبة مول;منفذ بيع;4 شارع انور المفتى من طريق النصر, مدينة نصر;https://goo.gl/maps/MFcKoio1uPU662iX6;30.067609700;31.330070500
AZ-UF-BR-0193;"كارفور-الجولف""طريق صلاح سالم";منفذ بيع;طريق صلاح سالم بجوار دار القوات الجوية - م.نصر -القاهرة;https://goo.gl/maps/tEqrwqnYuwrQCM5J7;30.082473400;31.321635900
AZ-UF-BR-0194;كارفور-الحمد مول;منفذ بيع;79 Axis, اول القاهرة الجديدة،بجانب سیتى فیستفیال مول;https://goo.gl/maps/h4PbnaCPcYB3CrP27;30.002890900;31.424355800
AZ-UF-BR-0195;كارفور-الزقازيق;منفذ بيع;طريق القنايات - الزقازيق، شيبة النكارية، الزقازيق، الشرقية.;https://goo.gl/maps/RNKpc5ptYuiw139c8;30.606066000;31.479767200
AZ-UF-BR-0196;كارفور-العجمي;منفذ بيع;طريق الإسكندرية - مرسى مطروح، العجمي البحري;https://goo.gl/maps/Pg2nJdszMTFoxTJk6;31.099960500;29.772368900
AZ-UF-BR-0197;كارفور-الغردقة 1;منفذ بيع;طريق النصر، الغردقة، البحر الأحمر;https://goo.gl/maps/vKjYQRhjgjjpvdYD9;27.169193700;33.821837600
AZ-UF-BR-0198;كارفور-الغردقة 2;منفذ بيع;طريق النصر، الغردقة، البحر الأحمر;https://goo.gl/maps/t7HaUrnBk1qd2n3N7;27.169193700;33.821837600
AZ-UF-BR-0199;كارفور-المحافظة;منفذ بيع;كارفور المحافظة, الجيزة;https://goo.gl/maps/EGKs5Yhgi2bpoVnBA;29.976646800;30.955503000
AZ-UF-BR-0200;كارفور-المنصورة 1;منفذ بيع;بنيان حي الجامعه بجوار بوابه توشكى -كارفور المنصورة;https://goo.gl/maps/zJrK57rfYu15pqrDA;31.031503800;31.393132500
AZ-UF-BR-0201;كارفور-المنصورة 2;منفذ بيع;خلف استاد المنصورة، الدقهلية;https://goo.gl/maps/cxstzsywo3bgPkuR8;31.030873800;31.392591800
AZ-UF-BR-0202;كارفور-الهرم;منفذ بيع;٢٢ شارع الهرم، الجيزة;https://goo.gl/maps/rwT2w3vs94WWr7kd8;29.987617400;31.141197700
AZ-UF-BR-0203;كارفور-بيفرلي هيلز;منفذ بيع;داخل ويست سكوير مول - سوديك ويست، بفرلى هيلز - الشيخ زايد;https://goo.gl/maps/hHauSx8Kda9rdpmV7;30.059497800;30.947252200
AZ-UF-BR-0204;كارفور-جرين بلازا;منفذ بيع;طريق 14 مايو، سموحة، سيدي جابر;https://goo.gl/maps/Yc4j8ghXPNgmbdDu9;31.205317800;29.966464000
AZ-UF-BR-0205;كارفور-حلوان;منفذ بيع;شارع مصطفى فهمي، حلوان، القاهرة‬;https://goo.gl/maps/dVhXCUZZfWGza32T9;29.850028400;31.325404000
